Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
17-Mar-2026,30-Mar-2026,XX,"-","23,520.00","23,670.00","23,372.60","23,617.40","23,613.00","23,617.40",7557355,"1,77,82,28,13,987.00","1,77,82,28,13,987.00",17790955,-465465
17-Mar-2026,26-May-2026,XX,"-","23,757.20","23,941.80","23,665.00","23,895.80","23,885.30","23,895.80",356915,"8,49,49,58,823.00","8,49,49,58,823.00",1257100,26325
17-Mar-2026,28-Apr-2026,XX,"-","23,620.00","23,818.00","23,521.00","23,767.40","23,765.00","23,767.40",1032135,"24,43,60,63,080.00","24,43,60,63,080.00",2873065,27365
16-Mar-2026,26-May-2026,XX,"-","23,475.00","23,807.70","23,317.10","23,714.40","23,678.00","23,714.40",518050,"12,19,72,01,731.00","12,19,72,01,731.00",1230775,8320
16-Mar-2026,28-Apr-2026,XX,"-","23,350.00","23,659.90","23,165.80","23,564.50","23,538.60","23,564.50",1297725,"30,37,63,93,508.50","30,37,63,93,508.50",2845700,144365
16-Mar-2026,30-Mar-2026,XX,"-","23,235.10","23,534.10","23,025.00","23,429.20","23,390.00","23,429.20",11270870,"2,62,56,42,23,259.00","2,62,56,42,23,259.00",18256420,-1708200
13-Mar-2026,26-May-2026,XX,"-","23,851.00","23,856.60","23,462.50","23,503.50","23,522.00","23,503.50",638560,"15,11,17,38,440.50","15,11,17,38,440.50",1222455,136305
13-Mar-2026,28-Apr-2026,XX,"-","23,710.00","23,720.00","23,310.40","23,352.70","23,370.50","23,352.70",1464255,"34,42,16,83,010.00","34,42,16,83,010.00",2701335,324220
13-Mar-2026,30-Mar-2026,XX,"-","23,499.00","23,570.10","23,155.10","23,199.30","23,228.40","23,199.30",11655605,"2,72,02,43,57,650.50","2,72,02,43,57,650.50",19964620,1683760
12-Mar-2026,26-May-2026,XX,"-","24,040.00","24,204.10","23,937.80","24,010.30","24,010.00","24,010.30",496535,"11,93,72,81,583.50","11,93,72,81,583.50",1086150,35230
12-Mar-2026,28-Apr-2026,XX,"-","23,920.00","24,070.00","23,800.20","23,882.40","23,884.00","23,882.40",863720,"20,64,88,87,779.00","20,64,88,87,779.00",2377115,112580
12-Mar-2026,30-Mar-2026,XX,"-","23,720.00","23,925.00","23,640.00","23,728.50","23,718.00","23,728.50",8812115,"2,09,35,95,46,955.00","2,09,35,95,46,955.00",18280860,203515
11-Mar-2026,26-May-2026,XX,"-","24,800.00","24,800.00","24,200.00","24,231.20","24,202.00","24,231.20",592085,"14,41,53,79,920.50","14,41,53,79,920.50",1050920,109265
11-Mar-2026,28-Apr-2026,XX,"-","24,938.20","24,938.20","24,075.00","24,102.10","24,077.40","24,102.10",936455,"22,71,53,56,358.50","22,71,53,56,358.50",2264535,300040
11-Mar-2026,30-Mar-2026,XX,"-","24,339.00","24,375.00","23,912.00","23,939.10","23,918.00","23,939.10",7955350,"1,91,83,20,33,217.50","1,91,83,20,33,217.50",18077345,709670
10-Mar-2026,26-May-2026,XX,"-","24,619.70","24,688.10","24,444.00","24,670.00","24,676.20","24,670.00",243685,"5,98,91,06,870.50","5,98,91,06,870.50",941655,40170
10-Mar-2026,28-Apr-2026,XX,"-","24,450.00","24,569.70","24,320.30","24,545.60","24,552.50","24,545.60",618605,"15,12,40,07,106.00","15,12,40,07,106.00",1964495,70850
10-Mar-2026,30-Mar-2026,XX,"-","24,286.60","24,419.60","24,158.90","24,393.60","24,405.70","24,393.60",7045025,"1,71,21,68,58,891.00","1,71,21,68,58,891.00",17367675,-84630
09-Mar-2026,26-May-2026,XX,"-","24,250.00","24,480.00","24,080.00","24,410.60","24,377.00","24,410.60",509080,"12,33,41,60,104.50","12,33,41,60,104.50",901485,79625
09-Mar-2026,28-Apr-2026,XX,"-","24,150.00","24,352.70","23,960.00","24,285.80","24,245.00","24,285.80",966615,"23,29,93,04,691.00","23,29,93,04,691.00",1893645,143780
09-Mar-2026,30-Mar-2026,XX,"-","23,845.00","24,204.70","23,804.00","24,122.50","24,090.10","24,122.50",11435840,"2,74,06,17,35,441.00","2,74,06,17,35,441.00",17452305,1744600
06-Mar-2026,26-May-2026,XX,"-","25,000.00","25,039.00","24,772.50","24,815.30","24,831.00","24,815.30",210080,"5,23,50,11,450.50","5,23,50,11,450.50",821860,40040
06-Mar-2026,28-Apr-2026,XX,"-","24,900.00","24,950.90","24,660.00","24,704.00","24,727.50","24,704.00",581555,"14,42,91,05,411.50","14,42,91,05,411.50",1749865,126945
06-Mar-2026,30-Mar-2026,XX,"-","24,689.90","24,777.00","24,500.00","24,545.70","24,565.20","24,545.70",5861830,"1,44,51,46,03,532.00","1,44,51,46,03,532.00",15707705,242970
05-Mar-2026,26-May-2026,XX,"-","24,900.50","25,219.90","24,890.40","25,118.50","25,092.90","25,118.50",416195,"10,40,09,26,848.00","10,40,09,26,848.00",781820,85670
05-Mar-2026,28-Apr-2026,XX,"-","24,849.60","25,120.00","24,783.90","25,010.00","24,985.00","25,010.00",614120,"15,29,98,21,335.50","15,29,98,21,335.50",1622920,75140
05-Mar-2026,30-Mar-2026,XX,"-","24,659.00","24,970.50","24,625.00","24,854.30","24,832.00","24,854.30",7632625,"1,89,00,52,80,815.00","1,89,00,52,80,815.00",15464735,-230620
04-Mar-2026,26-May-2026,XX,"-","24,900.00","24,959.90","24,700.00","24,863.60","24,835.00","24,863.60",583180,"14,45,33,80,246.50","14,45,33,80,246.50",696150,104195
04-Mar-2026,30-Mar-2026,XX,"-","24,450.00","24,700.00","24,427.00","24,584.70","24,578.00","24,584.70",10549695,"2,58,84,22,75,302.00","2,58,84,22,75,302.00",15695355,675285
04-Mar-2026,28-Apr-2026,XX,"-","24,797.00","24,853.50","24,589.50","24,741.00","24,735.60","24,741.00",1252810,"30,93,02,07,977.50","30,93,02,07,977.50",1547780,106600
02-Mar-2026,30-Mar-2026,XX,"-","25,100.00","25,151.00","24,743.40","24,982.20","24,988.00","24,982.20",9156615,"2,28,68,59,84,468.50","2,28,68,59,84,468.50",15020070,769080
02-Mar-2026,28-Apr-2026,XX,"-","25,200.00","25,312.60","24,907.80","25,140.20","25,141.80","25,140.20",785005,"19,72,65,61,783.50","19,72,65,61,783.50",1441180,67145
02-Mar-2026,26-May-2026,XX,"-","25,400.00","25,400.00","24,996.70","25,235.50","25,235.00","25,235.50",464815,"11,71,98,85,547.50","11,71,98,85,547.50",591955,109720
